epoch,fit/loss,fit/pred_loss,fit/sigreg_loss,step,validate/loss_epoch,validate/loss_step,validate/pred_loss_epoch,validate/pred_loss_step,validate/sigreg_loss_epoch,validate/sigreg_loss_step
0,3.120408773422241,0.24540874361991882,31.875,49,,,,,,
0,2.524150848388672,0.3054007589817047,24.625,99,,,,,,
0,2.1754186153411865,0.3629187047481537,20.125,149,,,,,,
0,1.6351946592330933,0.5101946592330933,12.5,199,,,,,,
0,1.4169294834136963,0.5223982334136963,9.9375,249,,,,,,
0,1.1994187831878662,0.5978562235832214,6.6875,299,,,,,,
0,1.11064612865448,0.57158362865448,6.0,349,,,,,,
0,1.0449151992797852,0.48241525888442993,6.25,399,,,,,,
0,0.9455846548080444,0.4065221846103668,5.96875,449,,,,,,
0,0.8275805711746216,0.34320560097694397,5.375,499,,,,,,
0,0.8091515302658081,0.3150109052658081,5.5,549,,,,,,
0,0.7371715307235718,0.2703746557235718,5.1875,599,,,,,,
0,0.6974023580551147,0.23255862295627594,5.15625,649,,,,,,
0,0.6774105429649353,0.2047542780637741,5.25,699,,,,,,
0,0.6365516185760498,0.1892859935760498,4.96875,749,,,,,,
0,0.6215875744819641,0.17627505958080292,4.9375,799,,,,,,
0,0.5666656494140625,0.1389312744140625,4.75,849,,,,,,
0,0.5425482988357544,0.1187201738357544,4.71875,899,,,,,,
0,0.5221288204193115,0.10220697522163391,4.65625,949,,,,,,
0,0.4972946345806122,0.10276339203119278,4.375,999,,,,,,
0,0.4605175852775574,0.08356445282697678,4.1875,1049,,,,,,
0,0.5012401938438416,0.08522456139326096,4.625,1099,,,,,,
0,0.48647427558898926,0.07827114313840866,4.53125,1149,,,,,,
0,0.4420715570449829,0.06707155704498291,4.15625,1199,,,,,,
0,0.4430314004421234,0.07975015789270401,4.03125,1249,,,,,,
0,0.4192243814468384,0.05984939634799957,4.0,1299,,,,,,
0,0.43519872426986694,0.07972995936870575,3.953125,1349,,,,,,
0,0.40100792050361633,0.061164166778326035,3.765625,1399,,,,,,
0,0.4132026731967926,0.0616401843726635,3.90625,1449,,,,,,
0,0.40062037110328674,0.06077660992741585,3.78125,1499,,,,,,
0,0.36506199836730957,0.05842137336730957,3.40625,1549,,,,,,
0,0.3822054862976074,0.059939876198768616,3.578125,1599,,,,,,
0,0.39264214038848877,0.06451712548732758,3.65625,1649,,,,,,
0,0.3481975495815277,0.06499442458152771,3.15625,1699,,,,,,
0,0.36084315180778503,0.06396814435720444,3.296875,1749,,,,,,
0,0.3481263518333435,0.0590638592839241,3.203125,1799,,,,,,
0,0.3893868625164032,0.0710274800658226,3.53125,1849,,,,,,
0,0.3583971858024597,0.05956906080245972,3.3125,1899,,,,,,
0,0.35216835141181946,0.05724646523594856,3.28125,1949,,,,,,
0,0.33923646807670593,0.05993959680199623,3.109375,1999,,,,,,
0,0.33707958459854126,0.05387645587325096,3.15625,2049,,,,,,
0,0.3309284448623657,0.05749093368649483,3.046875,2099,,,,,,
0,0.31700146198272705,0.051376476883888245,2.953125,2149,,,,,,
0,0.3391767740249634,0.059879906475543976,3.109375,2199,,,,,,
0,0.31729286909103394,0.05166786536574364,2.953125,2249,,,,,,
0,0.32333245873451233,0.059660572558641434,2.9375,2299,,,,,,
0,0.30785149335861206,0.04417961835861206,2.9375,2349,,,,,,
0,0.3228673040866852,0.05724230036139488,2.953125,2399,,,,,,
0,0.3033592104911804,0.04945295676589012,2.8125,2449,,,,,,
0,0.3012816607952118,0.04737541452050209,2.828125,2499,,,,,,
0,0.32233116030693054,0.05279991030693054,3.0,2549,,,,,,
0,0.3163944482803345,0.052722569555044174,2.9375,2599,,,,,,
0,0.30399465560913086,0.05497121810913086,2.765625,2649,,,,,,
0,0.3191579282283783,0.0496266707777977,2.984375,2699,,,,,,
0,0.28143441677093506,0.04510628804564476,2.625,2749,,,,,,
0,0.3037218749523163,0.043956249952316284,2.890625,2799,,,,,,
0,0.2971417009830475,0.043235454708337784,2.8125,2849,,,,,,
0,0.2845551669597626,0.04822703078389168,2.625,2899,,,,,,
0,0.27568569779396057,0.04228726401925087,2.59375,2949,,,,,,
0,0.2903795540332794,0.043309252709150314,2.75,2999,,,,,,
0,0.27654534578323364,0.04314689338207245,2.59375,3049,,,,,,
0,0.3074913024902344,0.04967880994081497,2.875,3099,,,,,,
0,0.2913937270641327,0.04139372333884239,2.78125,3149,,,,,,
0,0.2578674256801605,0.037164296954870224,2.453125,3199,,,,,,
0,0.28385016322135925,0.041662659496068954,2.6875,3249,,,,,,
0,0.27527564764022827,0.045783448964357376,2.546875,3299,,,,,,
0,0.29516932368278503,0.04321620240807533,2.796875,3349,,,,,,
0,0.27241140604019165,0.04487234354019165,2.53125,3399,,,,,,
0,0.2912553548812866,0.042231906205415726,2.765625,3449,,,,,,
0,0.25026655197143555,0.03542278707027435,2.390625,3499,,,,,,
0,0.2663830816745758,0.043726835399866104,2.46875,3549,,,,,,
0,0.2679447829723358,0.04724164679646492,2.453125,3599,,,,,,
0,0.28331759572029114,0.043083224445581436,2.671875,3649,,,,,,
0,0.2807818353176117,0.03859434649348259,2.6875,3699,,,,,,
0,0.2769959568977356,0.040667835623025894,2.625,3749,,,,,,
0,0.27578017115592957,0.04238172248005867,2.59375,3799,,,,,,
